,genus,species,count,centroid_x,centroid_y,std_x,std_y,radio_dis
0,Pitangus,sulphuratus,990,-75.15098613963038,1.266221047227926,20.941189136190523,20.51356532883518,26.558254377565582
1,Nyctidromus,albicollis,808,-74.85352132169575,3.5704592269326683,19.833621990987396,16.94551212780576,22.603388038857204
2,Tyrannus,melancholicus,787,-82.58937784974094,8.028237823834196,21.60931578637734,20.092033040147214,25.642615593457123
3,Rupornis,magnirostris,709,-71.41861041055718,-1.4082571847507332,17.376952784146514,16.499569365446348,21.2338296031659
4,Coereba,flaveola,610,-63.336363884156725,-0.4176608177172062,14.635697782688442,15.250014019967237,19.951732688739636
5,Leptotila,verreauxi,572,-73.84795815602837,-2.4984054964539006,20.535120912300187,20.91164653240797,26.932254689364193
6,Myiozetetes,similis,543,-77.5395824662813,4.540382080924855,21.89941422829673,16.75625414247621,24.351062618956306
7,Tolmomyias,sulphurescens,525,-60.621946470588234,-9.899269803921568,15.87668354386324,13.782010045262478,19.309556133482857
8,Megarynchus,pitangua,514,-68.82507834645669,-2.8335584645669294,18.856117285910248,16.41179524986141,23.416139172771103
9,Henicorhina,leucosticta,499,-80.3270769547325,7.090279012345679,8.380312759534517,6.852786018260734,9.203452586058999
10,Vanellus,chilensis,487,-63.88033622881356,-15.955925635593221,12.772705665439672,18.282399840590635,21.293138258587877
11,Camptostoma,obsoletum,478,-62.911152801724135,-10.860360129310344,13.921017918671573,13.722845558843835,19.046314187012545
12,Megascops,choliba,470,-61.272460706401766,-13.00196114790287,13.213955980982005,15.115038339725848,19.341108167898934
13,Herpetotheres,cachinnans,467,-73.15738630434782,2.346412173913043,18.7254929135253,14.550111389443018,20.66865475369446
14,Tapera,naevia,431,-62.93936753554502,-11.275961374407581,15.223629475503065,16.21477051730208,21.208272268820224
15,Dendrocygna,autumnalis,424,-82.57848854415273,17.25313031026253,18.470124595780064,18.26827369320759,21.837572042372642
16,Sicalis,flaveola,419,-62.634990640394086,-16.74709458128079,20.228344444901744,15.821730586072011,20.728680423546134
17,Falco,sparverius,409,-92.56025985037407,24.02966982543641,21.171040679448954,22.764858624941603,27.42054413711623
18,Setophaga,pitiayumi,397,-70.72599663212435,-7.427720725388601,19.445438225981977,20.146917951935123,25.013399498537268
19,Nyctibius,griseus,383,-61.07374391534392,-8.967985449735451,11.492884336708556,12.54365756422946,15.483704741713451
20,Volatinia,jacarina,380,-75.34576495956874,1.3830048517520213,19.644333430554315,16.540597166756523,22.411208859152087
21,Cantorchilus,leucotis,379,-64.29447493261456,-2.388775471698113,11.06545665377843,10.414632088141142,14.20753954737466
22,Myiodynastes,maculatus,377,-61.15769320652174,-13.050316304347826,13.649778610952797,14.786002508077178,18.777024172616013
23,Aramides,cajaneus,365,-62.55821504178274,-9.24527938718663,14.60125147582669,15.435426961604936,20.36268168610574
24,Ardea,alba,340,-20.587025147928998,24.88610857988166,66.09605102744847,25.746929427867048,63.51685409992655
25,Dryocopus,lineatus,330,-66.92872570532916,-3.834068338557994,18.508196151124313,15.133246800204308,21.739824041381823
26,Legatus,leucophaius,324,-65.482275,-4.9482072784810125,15.592916575107674,13.568211859444247,19.143205601171204
27,Crypturellus,soui,323,-68.04055541401274,-0.7087019108280254,14.758394362414466,9.519786040823279,15.698919210787405
28,Ramphastos,ambiguus,311,-80.4455237012987,5.895918181818181,3.6144684216664498,4.778312129433655,5.745316111368284
29,Cacicus,cela,302,-67.7502929054054,-3.652585135135135,11.273690033980923,7.999356945948715,12.564617685838101
30,Saltator,maximus,298,-65.87761358885017,-4.011403832752613,16.94851034626792,11.155737608643918,18.75919981431449
31,Crotophaga,ani,287,-65.38163862815884,-1.471874007220217,14.285342344378343,16.43170421047749,20.27590101527062
32,Thraupis,episcopus,280,-76.6144057553957,2.3815424460431656,9.091646170727708,7.591169692714948,9.31784533594703
33,Poliocrania,exsul,270,-80.31817034220533,6.137894676806083,3.002616849980966,3.934432789762454,4.747378882544957
34,Elaenia,flavogaster,267,-63.59480961538461,-4.658363461538461,16.36932309518748,13.632755481069355,20.331923450980298
35,Galbula,ruficauda,261,-62.04707786561265,-4.398069169960474,16.942106378564414,13.160078775131478,20.418627794843648
36,Todirostrum,cinereum,260,-65.9110276679842,-2.8165328063241106,17.56874602415129,13.033824150985204,20.548165243146524
37,Manacus,manacus,246,-57.48180753138076,-8.630046861924686,15.699675335353534,12.087121210025044,19.392038065940135
38,Milvago,chimachima,238,-61.68131991341992,-6.225144588744588,14.266941184028244,14.072168652689726,19.485667578414674
39,Tringa,solitaria,237,-87.25834935622318,27.146032618025746,25.989008184020978,26.456896991686715,31.498767740221478
40,Myiozetetes,cayanensis,236,-66.04640608695652,-2.6628317391304344,12.10218975307891,9.594843813681857,14.734795417616272
